Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
group	2	0.846405240338724	0.423202620169362	1.21503351714986	0.0559456854114242	0.102
sex	1	0.70245131243094	0.70245131243094	2.01676891420932	0.0464306200731653	0.008
age	1	0.50032921766008	0.50032921766008	1.43646740377714	0.0330707558026849	0.063
triage	2	0.69111154641783	0.345555773208915	0.992105971190451	0.0456810843286149	0.461
group:sex	2	0.767834070665025	0.383917035332512	1.10224285839046	0.0507522889962351	0.209
group:age	2	0.682270579236394	0.341135289618197	0.979414566485575	0.045096714165137	0.481
sex:age	1	0.246055415578003	0.246055415578003	0.70643602557061	0.0162637684854069	0.939
group:triage	4	1.33391348471238	0.333478371178096	0.957431213596402	0.0881690006454954	0.622
sex:triage	1	0.469462580598347	0.469462580598347	1.34784791796985	0.0310305331239203	0.078
age:triage	1	0.4319432603735	0.4319432603735	1.24012828335222	0.0285505814576124	0.144
group:sex:age	2	0.766583399950373	0.383291699975187	1.10044749280812	0.0506696221754021	0.264
group:sex:triage	1	0.351956235788319	0.351956235788319	1.01048198350372	0.0232635998781416	0.414
group:age:triage	1	0.372630561001367	0.372630561001367	1.06983888934768	0.0246301312266476	0.309
Residuals	20	6.96610610647318	0.348305305323659	NA	0.460445614230112	NA
Total	41	15.1290530112245	NA	NA	1	NA
