	sum_sq	df	F	PR(>F)
group	22.600051667830083	2.0	1.289213526559701	0.2974151761768128
sex	1.4235924361044217	1.0	0.1624168521301538	0.6912166873648389
age	87.57799856490043	1.0	9.991724093234014	0.0049146006457639725
triage	19.497628955993605	2.0	1.1122367043828318	0.3483254137295669
group:sex	0.9918796346672691	2.0	0.056581491959700234	0.9451401836913359
group:age	5.867365893186141	2.0	0.33470222041739656	0.5693616117799791
sex:age	12.458676656988617	1.0	1.4214033406026707	0.2471270055376076
group:triage	65.3866104502701	4.0	1.8649803081727159	0.18085469279799882
sex:triage	2.849845447195903e-14	2.0	1.625686238744028e-15	0.9999999999999978
age:triage	6.956913015707853	2.0	0.3968551264737417	0.5358494755471657
group:sex:age	66.86652348615833	2.0	3.8143818350241023	0.0395080360076133
group:sex:triage	159.6020550114644	4.0	4.552226942038255	0.045448146030979256
group:age:triage	75.99039154457327	4.0	2.167425148131045	0.14060901561039651
sex:age:triage	8.319507366027231	2.0	0.47458393406519067	0.6289732687044596
group:sex:age:triage	9.634713887847079	4.0	0.2748047582215476	0.8907555981248582
Residual	175.30107466479114	20.0		
