	sum_sq	df	F	PR(>F)
group	6954.531123779879	2.0	1.9192634619757034	0.17278490766751212
sex	6230.722953846371	1.0	3.4390237657060396	0.0784787191597159
age	11436.016685469616	1.0	6.3120657839652905	0.020679037537623346
triage	150.41188704272696	2.0	0.041509633634513265	0.840616121743072
group:sex	2671.623395645506	2.0	0.7372961708215044	0.4909651594322898
group:age	13049.410665478006	2.0	3.601286218265648	0.07226563668608513
sex:age	3689.0486343906014	1.0	2.03615632094232	0.16902365324686877
group:triage	11447.779230520522	4.0	1.5796395189587333	0.23070106661524944
sex:triage	5.055819545029085e-12	2.0	1.3952701555878574e-15	0.9999999999999978
age:triage	5619.569927639111	2.0	1.5508500921444102	0.227403525673784
group:sex:age	3629.9459683367845	2.0	1.0017674149379958	0.3849243683528991
group:sex:triage	17940.689609164074	4.0	2.475573797619374	0.131313958448188
group:age:triage	5334.0569744752875	4.0	0.7360280997378651	0.4915453644464866
sex:age:triage	534.6379744317995	2.0	0.14754569523789096	0.8637535462216557
group:sex:age:triage	11585.412592133825	4.0	1.5986310711850271	0.2135633350697724
Residual	36235.41666666667	20.0		
