Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
group	2	0.609364229654757	0.304682114827379	1.27318319258962	0.0573374622939348	0.114
sex	1	0.363375476314965	0.363375476314965	1.51844669092433	0.03419141895407	0.063
age	1	0.563105294701622	0.563105294701622	2.35306295309955	0.052984778284019	0.006
triage	2	0.467549631552715	0.233774815776358	0.976880991080895	0.0439935724236479	0.449
group:sex	2	0.41958550554492	0.20979275277246	0.876666511614363	0.0394804403220284	0.666
group:age	2	0.560538419249562	0.280269209624781	1.17116834145915	0.0527432509391515	0.191
sex:age	1	0.185081481803756	0.185081481803756	0.773404871584372	0.0174150400824165	0.795
group:triage	4	1.1946976661328	0.2986744165332	1.24807866520825	0.11241377332462	0.076
sex:triage	1	0.359706542774747	0.359706542774747	1.50311522153112	0.0338461946558856	0.072
age:triage	1	0.276467786902219	0.276467786902219	1.15528323602381	0.0260139347463417	0.221
group:sex:age	2	0.414081368242569	0.207040684121285	0.865166369725449	0.0389625345282916	0.692
group:sex:triage	1	0.230420197740829	0.230420197740829	0.962862960180678	0.0216811370880943	0.461
group:age:triage	1	0.197559596808637	0.197559596808637	0.825547500003554	0.0185891546985585	0.689
Residuals	20	4.78614729758825	0.239307364879412	NA	0.450347307658941	NA
Total	41	10.6276804950123	NA	NA	1	NA
