Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
group	2	0.219314075557897	0.109657037778948	1.82025284593411	0.0761354553055685	0.081
sex	1	0.186622292644067	0.186622292644067	3.09783818877994	0.0647864173080592	0.02
age	1	0.203899202198772	0.203899202198772	3.38462638243234	0.0707841416760664	0.018
triage	2	0.108163433871551	0.0540817169357755	0.897729878166076	0.0375492191473607	0.491
group:sex	2	0.121110284257783	0.0605551421288916	1.00518554967951	0.0420437521426616	0.409
group:age	2	0.172063500228982	0.0860317501144911	1.42808470079481	0.0597322944187641	0.196
sex:age	1	0.0318904913820832	0.0318904913820832	0.529366458115451	0.0110708675451715	0.746
group:triage	4	0.313985484157095	0.0784963710392738	1.30300111760969	0.109000882569113	0.192
sex:triage	1	0.0686396844178476	0.0686396844178476	1.13938497187448	0.023828446085321	0.321
age:triage	1	0.0638856982676848	0.0638856982676848	1.06047114204069	0.0221780873514446	0.346
group:sex:age	2	0.111023743508753	0.0555118717543766	0.921469744128283	0.0385421831237463	0.479
group:sex:triage	1	0.041743025116193	0.041743025116193	0.692913667965561	0.0144912004164281	0.607
group:age:triage	1	0.0333815254598648	0.0333815254598648	0.554116889810841	0.0115884839275184	0.747
Residuals	20	1.204855007082	0.0602427503541	NA	0.418268568982777	NA
Total	41	2.88057744815057	NA	NA	1	NA
