sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
1	47361	37665	79.53	37408	36803	77.71	7613	16.07
2	44933	35878	79.85	34686	31546	70.21	6825	15.19
3	27237	20963	76.97	20550	19575	71.87	4638	17.03
4	39842	30828	77.38	29953	28230	70.85	4982	12.5
5	65980	53378	80.9	52611	51018	77.32	8516	12.91
6	26179	20827	79.56	20219	18255	69.73	4408	16.84
7	33118	26035	78.61	25262	22811	68.88	5314	16.05
8	109789	88261	80.39	87889	86831	79.09	22794	20.76
9	55189	43422	78.68	43262	42380	76.79	10712	19.41
10	37618	29021	77.15	28730	27910	74.19	4936	13.12
11	140844	111748	79.34	111356	110131	78.19	19020	13.5
12	30396	22523	74.1	22321	21917	72.1	4406	14.5
13	71607	56509	78.92	55466	52551	73.39	7218	10.08
14	61604	46942	76.2	46626	45955	74.6	8415	13.66
15	45636	34907	76.49	34482	33456	73.31	4693	10.28
16	43118	33988	78.83	33084	30916	71.7	7752	17.98
17	46956	37711	80.31	36753	34015	72.44	8827	18.8
18	36471	29392	80.59	28869	27534	75.5	4879	13.38
19	32964	26250	79.63	25663	24301	73.72	4436	13.46
20	35075	27091	77.24	26122	23815	67.9	4725	13.47
22	45756	35067	76.64	34858	34391	75.16	6704	14.65
23	41016	32383	78.95	31546	29318	71.48	4925	12.01
24	50286	40555	80.65	39905	38403	76.37	5257	10.45
25	42196	34618	82.04	34396	33587	79.6	6399	15.16
26	36941	30510	82.59	30010	28990	78.48	6387	17.29
27	42206	34488	81.71	33530	31152	73.81	7858	18.62
28	35740	28375	79.39	27839	26243	73.43	5593	15.65
29	51728	43488	84.07	43238	42733	82.61	9967	19.27
30	45020	36775	81.69	36171	34311	76.21	5045	11.21
31	40553	33504	82.62	32603	29947	73.85	6968	17.18
32	115591	89543	77.47	88771	86715	75.02	12302	10.64
33	58319	46778	80.21	45546	42844	73.46	7678	13.17
34	50048	40649	81.22	39685	36922	73.77	7059	14.1
35	45742	36965	80.81	36150	34081	74.51	6985	15.27
36	40248	32235	80.09	31549	29790	74.02	5872	14.59
37	55944	44669	79.85	43602	40776	72.89	5959	10.65
38	44858	35346	78.8	34415	32012	71.36	6392	14.25
39	29067	16876	58.06	16711	16075	55.3	3257	11.21
40	40418	32249	79.79	31649	29643	73.34	5138	12.71
41	35222	28094	79.76	27323	24921	70.75	4647	13.19
42	37587	29973	79.74	29524	27461	73.06	3482	9.26
43	44661	36817	82.44	36425	35573	79.65	8156	18.26
